date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:51	22590/22590	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/login.html	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/login.html	(from http://www.webstrot.com/html/weapon/)
19:18:52	4509/4509	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/sliders/sm-1.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/sliders/sm-1.jpg	(from http://www.webstrot.com/html/weapon/)
19:18:54	4391/4391	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/sliders/sm-2.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/sliders/sm-2.jpg	(from http://www.webstrot.com/html/weapon/)
19:18:56	64514/64514	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/products/5.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/products/5.jpg	(from http://www.webstrot.com/html/weapon/)
19:18:57	4633/4633	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/sliders/sm-4.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/sliders/sm-4.jpg	(from http://www.webstrot.com/html/weapon/)
19:18:58	2941/2941	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/icons/01.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/icons/01.png	(from http://www.webstrot.com/html/weapon/)
19:18:58	28678/28678	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/sliders/sm-3.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/sliders/sm-3.jpg	(from http://www.webstrot.com/html/weapon/)
19:18:58	1881/1881	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/icons/02.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/icons/02.png	(from http://www.webstrot.com/html/weapon/)
19:18:59	3348/3348	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/icons/03.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/icons/03.png	(from http://www.webstrot.com/html/weapon/)
19:19:01	8549/8549	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/events/1.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/events/1.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:01	75344/75344	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/products/7.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/products/7.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:03	8679/8679	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/events/2.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/events/2.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:03	94887/94887	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/products/6.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/products/6.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:03	1710/1710	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/products/1.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/products/1.png	(from http://www.webstrot.com/html/weapon/)
19:19:03	10389/10389	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/events/3.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/events/3.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:04	1702/1702	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/products/3.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/products/3.png	(from http://www.webstrot.com/html/weapon/)
19:19:04	2279/2279	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/products/4.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/products/4.png	(from http://www.webstrot.com/html/weapon/)
19:19:06	16237/16237	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/products/2.png	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/products/2.png	(from http://www.webstrot.com/html/weapon/)
19:19:08	21886/21886	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/products/1.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/products/1.jpg	(from http://www.webstrot.com/html/weapon/)
19:19:08	22929/22929	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/weapon/assets/images/products/2.jpg	C:/Users/azizm/Desktop/front/front/www.webstrot.com/html/weapon/assets/images/products/2.jpg	(from http://www.webstrot.com/html/weapon/)
